trial_id,pair_id,condition,age,grade,mood,location,goal_label,goal_text,seed,latency_s,attempts,first_attempt_pass,final_pass,page_count,avg_sentences_per_page,avg_words_per_sentence,total_words,page_count_pass,spp_pass,wps_pass,total_words_pass,fkgl_score,fkgl_pass,fre_score,fre_pass,story_elements_found,story_elements_pass,cohesion_mean,cohesion_pairs,aoa_coverage_pct,aoa_pass,goal_mention_count,goal_mention_pass,goal_action_count,goal_action_pass,goal_reminder_count,goal_reminder_pass,unsafe_hits,safe_pass,all_pass_automated,errors
A06_Mhappy_Lpark_Gempathy_S42_Cbaseline,A06_Mhappy_Lpark_Gempathy_S42,baseline,6,1,happy,park,empathy,empathy: caring about how others feel,42,8.97,1,,,16,2.81,6.53,294,False,True,True,False,2.3,False,94.58,True,6,True,0.0482,29,89.96,False,3,True,5,True,1,True,0,True,False,
A06_Mhappy_Lpark_Gpersistence_S1337_Cbaseline,A06_Mhappy_Lpark_Gpersistence_S1337,baseline,6,1,happy,park,persistence,persistence: keeping trying when tasks are hard,1337,7.95,1,,,16,4.5,4.44,320,False,True,True,True,0.07,True,103.74,True,6,True,0.0057,42,90.78,False,2,True,6,True,2,True,0,True,False,
A06_Mhappy_Lpark_Gpersistence_S42_Cbaseline,A06_Mhappy_Lpark_Gpersistence_S42,baseline,6,1,happy,park,persistence,persistence: keeping trying when tasks are hard,42,9.23,1,,,16,3.25,5.65,294,False,True,True,False,0.67,True,103.23,True,6,True,0.0239,36,89.26,False,3,True,6,True,3,True,0,True,False,
A06_Mhappy_Lpark_Gempathy_S1337_Cbaseline,A06_Mhappy_Lpark_Gempathy_S1337,baseline,6,1,happy,park,empathy,empathy: caring about how others feel,1337,10.65,1,,,16,4.06,5.31,345,False,True,True,True,1.11,True,98.78,True,6,True,0.0127,49,86.85,False,3,True,5,True,2,True,0,True,False,
A06_Mhappy_Lschool_Gempathy_S42_Cbaseline,A06_Mhappy_Lschool_Gempathy_S42,baseline,6,1,happy,school,empathy,empathy: caring about how others feel,42,8.94,1,,,15,2.27,7.94,270,True,True,True,False,2.71,False,91.34,True,0,False,0.0239,30,88.69,False,2,True,3,True,1,True,0,True,False,
A06_Mhappy_Lschool_Gempathy_S1337_Cbaseline,A06_Mhappy_Lschool_Gempathy_S1337,baseline,6,1,happy,school,empathy,empathy: caring about how others feel,1337,9.91,1,,,16,3.25,6.17,321,False,True,True,True,2.12,False,94.07,True,6,True,0.0322,36,86.78,False,2,True,3,True,1,True,0,True,False,
A06_Mhappy_Lschool_Gpersistence_S42_Cbaseline,A06_Mhappy_Lschool_Gpersistence_S42,baseline,6,1,happy,school,persistence,persistence: keeping trying when tasks are hard,42,11.52,1,,,16,3.44,6.29,346,False,True,True,True,2.5,False,91.56,True,6,True,0.0252,39,85.19,False,3,True,6,True,3,True,0,True,False,
A06_Mhappy_Lpark_Gpersistence_S1337_Cfull,A06_Mhappy_Lpark_Gpersistence_S1337,full,6,1,happy,park,persistence,persistence: keeping trying when tasks are hard,1337,45.12,3,False,False,16,4.25,4.54,309,False,True,True,True,-0.12,True,105.43,True,6,True,0.0206,39,90.78,False,4,True,5,True,3,True,0,True,False,
A06_Mhappy_Lpark_Gpersistence_S42_Cfull,A06_Mhappy_Lpark_Gpersistence_S42,full,6,1,happy,park,persistence,persistence: keeping trying when tasks are hard,42,45.27,3,False,False,15,2.87,6.26,269,True,True,True,False,0.71,True,101.82,True,6,True,0.0159,40,92.28,False,3,True,5,True,3,True,0,True,False,
A06_Mhappy_Lschool_Gpersistence_S1337_Cbaseline,A06_Mhappy_Lschool_Gpersistence_S1337,baseline,6,1,happy,school,persistence,persistence: keeping trying when tasks are hard,1337,8.2,1,,,16,3.5,5.79,324,False,True,True,True,1.74,True,95.75,True,6,True,0.0314,38,88.12,False,3,True,5,True,2,True,0,True,False,
